Nombre Producto;Sub Categoría Producto;Categoría Producto;Color;Fecha;Cantidad;Precio;Nombre Cliente;Genero;Ingreso Anual;Estado Civil;Rango Edad;Tipo Tienda;Nombre Tienda;País
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;18/09/2018;3;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;17/09/2018;3;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;16/09/2018;2;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;15/09/2018;2;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;14/09/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;13/09/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/12/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/11/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/10/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/09/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/08/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/07/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/06/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/05/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/04/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;09/04/2018;3;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;09/03/2018;3;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/03/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;09/03/2018;3;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
